Group,FilePath
18,Data/107/150032/10311233/10311233.pdf
5,Data/107/150032/19250206/19250206.pdf
3,Data/107/150042/10009433/10009433.pdf
3,Data/107/150042/10010819/10010819.pdf
3,Data/107/150042/10036509/10036509.pdf
3,Data/107/150042/10039213/10039213.pdf
3,Data/107/150042/10052616/10052616.pdf
3,Data/107/150042/10054818/10054818.pdf
6,Data/107/150042/10060703/10060703.pdf
7,Data/107/150042/10074828/10074828.pdf
1,Data/107/150042/10082337/10082337.pdf
1,Data/107/150042/10083608/10083608.pdf
1,Data/107/150042/10084510/10084510.pdf
12,Data/107/150042/10087613/10087613.pdf
3,Data/107/150042/10090538/10090538.pdf
7,Data/107/150042/10096805/10096805.pdf
7,Data/107/150042/10097735/10097735.pdf
7,Data/107/150042/10098329/10098329.pdf
7,Data/107/150042/10098425/10098425.pdf
7,Data/107/150042/10105601/10105601.pdf
7,Data/107/150042/10106113/10106113.pdf
3,Data/107/150042/10108636/10108636.pdf
3,Data/107/150042/10109709/10109709.pdf
18,Data/107/150042/10110722/10110722.pdf
6,Data/107/150042/10116205/10116205.pdf
6,Data/107/150042/10117115/10117115.pdf
14,Data/107/150042/10120839/10120839.pdf
4,Data/107/150042/10122630/10122630.pdf
4,Data/107/150042/10140405/10140405.pdf
18,Data/107/150042/10156937/10156937.pdf
0,Data/107/150042/10165906/10165906.pdf
0,Data/107/150042/10170923/10170923.pdf
6,Data/107/150042/10188627/10188627.pdf
18,Data/107/150042/10226202/10226202.pdf
18,Data/107/150042/10274417/10274417.pdf
3,Data/107/150042/10289607/10289607.pdf
18,Data/107/150042/10304506/10304506.pdf
1,Data/107/150042/10306323/10306323.pdf
6,Data/107/150042/10316437/10316437.pdf
1,Data/107/150042/10320519/10320519.pdf
3,Data/107/150052/10001717/10001717.pdf
3,Data/107/150052/10001941/10001941.pdf
3,Data/107/150052/10002625/10002625.pdf
3,Data/107/150052/10006313/10006313.pdf
3,Data/107/150052/10009238/10009238.pdf
3,Data/107/150052/10017342/10017342.pdf
3,Data/107/150052/10029414/10029414.pdf
3,Data/107/150052/10031340/10031340.pdf
3,Data/107/150052/10031742/10031742.pdf
3,Data/107/150052/10031902/10031902.pdf
3,Data/107/150052/10034037/10034037.pdf
3,Data/107/150052/10034738/10034738.pdf
3,Data/107/150052/10034929/10034929.pdf
3,Data/107/150052/10037613/10037613.pdf
3,Data/107/150052/10039431/10039431.pdf
3,Data/107/150052/10045628/10045628.pdf
16,Data/107/150052/10048912/10048912.pdf
3,Data/107/150052/10052406/10052406.pdf
3,Data/107/150052/10052529/10052529.pdf
3,Data/107/150052/10053801/10053801.pdf
3,Data/107/150052/10067020/10067020.pdf
5,Data/107/150052/10077613/10077613.pdf
3,Data/107/150052/10079434/10079434.pdf
1,Data/107/150052/10080813/10080813.pdf
1,Data/107/150052/10084008/10084008.pdf
6,Data/107/150052/10098402/10098402.pdf
7,Data/107/150052/10098425/10098425.pdf
13,Data/107/150052/10105104/10105104.pdf
7,Data/107/150052/10106405/10106405.pdf
13,Data/107/150052/10107525/10107525.pdf
18,Data/107/150052/10110912/10110912.pdf
14,Data/107/150052/10111237/10111237.pdf
14,Data/107/150052/10113705/10113705.pdf
18,Data/107/150052/10114321/10114321.pdf
6,Data/107/150052/10117617/10117617.pdf
14,Data/107/150052/10130438/10130438.pdf
4,Data/107/150052/10138403/10138403.pdf
9,Data/107/150052/10142628/10142628.pdf
18,Data/107/150052/10142635/10142635.pdf
9,Data/107/150052/10143840/10143840.pdf
18,Data/107/150052/10156705/10156705.pdf
6,Data/107/150052/10158206/10158206.pdf
8,Data/107/150052/10167321/10167321.pdf
